specimen_ID,digitizer,scale,x,y
,,,950.5,701.5
FJ190711-001,RAK,100.05,1194,501
,,109.045,1406.5,623.5
,,109.045,1394.5,665.5
,,,1223.5,692.5
,,,995.5,692.5
,,,950.5,761.5
FJ190827-007,RAK,96.187,1574.5,902.5
,,105,1730.5,1049.5
,,99.045,1715.5,1070.5
,,,1568.5,1055.5
,,,1373.5,1001.5
,,,1316.5,1049.5
FJ190827-009,RAK,150.12,1716,1050
,,153,1946.5,1202.5
,,153.47,1925.5,1238.5
,,,1754.5,1238.5
,,,1478.5,1208.5
,,,1409.5,1274.5
FJ190827-017,RAK,113.048,1713,588
,,100.2,1871.5,668.5
,,112.396,1859.5,698.5
,,,1736.5,707.5
,,,1541.5,707.5
,,,1517.5,767.5
JG170708-021,RAK,114.039,1074,1053
,,117.154,1208.5,1157.5
,,120,1202.5,1172.5
,,,1079.5,1178.5
,,,920.5,1160.5
,,,878.5,1202.5
JG170712-022,RAK,114,1221,645
,,114.039,1361.5,749.5
,,120.337,1346.5,770.5
,,,1232.5,773.5
,,,1058.5,755.5
,,,1016.5,791.5
JG170712-028,RAK,114.039,1269,621
,,117.038,1409.5,728.5
,,123,1397.5,752.5
,,,1280.5,749.5
,,,1109.5,728.5
,,,1058.5,767.5
JG170712-049,RAK,120,1260,468
,,123,1409.5,569.5
,,132,1391.5,599.5
,,,1262.5,599.5
,,,1091.5,572.5
,,,1040.5,620.5
JL190619-006,RAK,135.033,981,1053
,,135.133,1145.5,1208.5
,,141.128,1136.5,1235.5
,,,968.5,1217.5
,,,755.5,1160.5
,,,689.5,1214.5
AOI190709-001,TSB,147.003,1072,486
,,143.056,1183.833,585.833
,,139.004,1167.833,604.5
,,142,1070.5,599.167
,,141.014,919.833,565.833
,,,869.167,597.833
FJ170709-063,TSB,138.014,1331,591
,,140.057,1457.167,697.833
,,138.058,1438.5,716.5
,,138.177,1339.833,711.167
,,147.085,1178.5,677.833
,,,1137.167,711.167
FJ170712-011,TSB,136.015,1135,546
,,139.014,1275.167,627.5
,,143,1257.833,656.833
,,137.179,1156.5,664.833
,,137.015,985.833,659.5
,,,951.167,700.833
FJ190711-001,TSB,141.004,1196,499
,,137.015,1413.5,628.5
,,141.004,1395.5,666.5
,,137.033,1219.5,690.5
,,145.003,999.5,684.5
,,,955.5,758.5
FJ190827-007,TSB,147,1578,909
,,141.032,1731.167,1048.833
,,140.032,1711.167,1072.833
,,137.233,1557.833,1051.5
,,139.129,1369.833,1000.833
,,,1316.5,1054.167
FJ190827-009,TSB,198.162,1724,1052
,,202.356,1943.5,1201.5
,,202.158,1927.5,1235.5
,,200.36,1743.5,1237.5
,,206.475,1477.5,1205.5
,,,1409.5,1277.5
FJ190827-017,TSB,140.057,1710,592
,,144.125,1869.5,679.5
,,142.056,1859.5,697.5
,,140.057,1739.5,713.5
,,140.129,1545.5,713.5
,,,1511.5,765.5
JG170708-021,TSB,137.091,1242,552
,,136.033,1366.833,657.167
